session_id,date,search,retrieval,retrieval_from_search,preview,preview_from_search,rs_ratio,add_to_my_list,email,print,export_easylib,
49CAFB2DFDB027A44ECD519DC73738D3,2014-11-02,1,5,5,0,0,5.0,0,0,1,0,
3D65F093A2C21DDFC791DF809DBA4F8E,2014-11-02,3,6,6,3,3,3.0,1,0,0,0,
CF921496BA007685FC6AC9FED5172546,2014-11-02,12,14,14,4,4,1.5,0,6,0,0,
5E7E0D6250976D848766B8F53DFF5690,2014-11-02,0,1,1,0,0,-1,0,0,2,0,
FBB804294727435FB0E49873E8BCE28A,2014-11-02,4,2,2,1,1,0.75,0,0,1,0,
8D59DAC277C13E867B2D204CD550AA24,2014-11-02,4,2,2,0,0,0.5,2,0,0,0,
9BAE552B836678B21FC1B008A4882C90,2014-11-02,3,5,5,2,2,2.33333333333,2,0,0,0,
F82E51DEC45B8ADCC37037BD6CB5E331,2014-11-02,2,7,7,0,0,3.5,0,0,5,0,
36AC304CD70F4732C7F66FB2368AC9F7,2014-11-02,5,3,3,0,0,0.6,0,0,2,0,
2628B93C5D9C586B5CBFC26D83DD4A4E,2014-11-02,1,1,1,0,0,1.0,0,0,1,0,
0793031DF9A6F2ECC8CFCCAF477C4599,2014-11-02,5,8,8,5,5,2.6,0,1,0,0,
E4DAE212A059B754EE618B81C27566E0,2014-11-02,0,0,0,0,0,-1,0,0,1,0,
AA9646DA49534688D92A990CC3ECAAC7,2014-11-02,2,3,3,0,0,1.5,0,0,3,0,
7476C69101E0D40540B87FFAC14447A6,2014-11-02,2,4,4,1,1,2.5,0,0,1,0,
E7B28F1C7FDB9293F2BB4552A9C2DBF1,2014-11-02,3,7,7,3,3,3.33333333333,2,0,0,0,
AEA466C7D6A37B4A24C085085D11405D,2014-11-02,2,1,1,0,0,0.5,2,0,0,0,
AD02113DDE204BEAB4C0CE868194B622,2014-11-02,1,1,1,0,0,1.0,0,0,0,1,
4BFBFE9EA9781B1C1F8CFC9274C70639,2014-11-02,3,5,5,0,0,1.66666666667,0,0,1,0,
23C671F5F4581AFACAD55B6AA36C24F9,2014-11-02,6,2,2,1,1,0.5,1,0,0,0,
FC66BE36AF716C2D69D3B4B75A08D1FB,2014-11-02,6,7,7,1,1,1.33333333333,2,0,0,0,
60FCD507D8898C41126C8DD6E804D0DE,2014-11-02,4,34,34,8,8,10.5,23,0,0,0,
3584FB26195D42BC3A6292D70FBCCFCA,2014-11-02,0,0,0,0,0,-1,0,0,1,0,
2506B109193601C7EEEB22F4C4F43261,2014-11-02,3,8,8,4,4,4.0,0,0,1,0,
D6749BF3D0E2272F9B395346AA6C6056,2014-11-02,4,1,1,0,0,0.25,0,0,1,0,
F675E02262D3C73501FFEC8D4B2EC9D3,2014-11-02,2,2,2,0,0,1.0,2,0,0,0,
5B4F4B0CAE99F79CB5932300F658A75E,2014-11-02,2,8,8,4,4,6.0,0,0,1,0,
AABCF5F8EF139A06CA53C0CA1A1CE40F,2014-11-02,3,1,1,1,1,0.666666666667,2,0,0,0,
17BFFB563B09E9F9D38EABB1E66222D6,2014-11-02,2,4,4,0,0,2.0,0,0,2,0,
213BE72F0B5B865EA4D1364C0B848C59,2014-11-02,1,1,1,0,0,1.0,1,0,0,0,
8147F3D4BC87AB5C8585EB1700A3209B,2014-11-02,2,10,10,1,1,5.5,2,0,1,0,
B2391C1972A883215473A83627AC279B,2014-11-02,5,4,4,3,3,1.4,8,0,0,0,
E6DA6175D9FF50517E60DAE2FB32B539,2014-11-02,2,14,14,0,0,7.0,0,0,5,0,
08B6DB67FA34253A0772598364A51E3C,2014-11-02,2,7,7,0,0,3.5,0,0,1,0,
9581BD11559C4B798B49A20D8E269511,2014-11-02,3,9,9,1,1,3.33333333333,0,0,3,0,
3ACAA70D1856F7586F8909DBE9EAE60B,2014-11-02,7,5,5,0,0,0.714285714286,4,0,0,0,
CB93788DBD6BC4FCF8BC61B7F9D59853,2014-11-02,0,1,1,0,0,-1,0,0,1,0,
53F510A5E84282513D45B624E32739F4,2014-11-02,5,3,3,0,0,0.6,0,3,0,0,
520E8E89A575E1C982DC418D41E9EF59,2014-11-02,10,7,7,1,1,0.8,0,0,3,0,
F415302D627277D572A1411A550D09B9,2014-11-02,3,3,3,0,0,1.0,0,0,2,0,
7943830356CB20B7CE4AD8BAD80B8FB4,2014-11-02,18,11,11,0,0,0.611111111111,2,0,0,0,
697061C53F797AA54C6CD5579786BFF0,2014-11-02,0,0,0,0,0,-1,0,0,0,1,
8D920D5E26054871AF51D8DE69F52222,2014-11-02,14,10,10,5,5,1.07142857143,0,0,3,0,
B9B919CA0B65F9F713B0E38187798164,2014-11-02,0,2,2,0,0,-1,0,0,0,1,
E898555DE64B39FDD327AB97BB9D02A9,2014-11-02,3,12,12,0,0,4.0,0,0,4,0,
9C4C4B86996EE74BF98CBE5B45C905BB,2014-11-02,1,3,3,1,1,4.0,2,0,0,0,
8B73444B9730FE73777E5C7B0B6ADA4B,2014-11-02,15,9,9,0,0,0.6,4,0,0,0,
D4E7B4C38C7D48214F461FBB3DDF4ADE,2014-11-02,0,0,0,0,0,-1,0,0,1,0,
DBFD57B270FD052149CDEC8D95DC6560,2014-11-02,38,15,15,0,0,0.394736842105,7,0,0,0,
F5A78517A2FDD33995E24A47965B1F0C,2014-11-02,4,9,9,2,2,2.75,7,0,0,0,
49965B35AA453BBD6A9447EF0408FBD7,2014-11-02,2,0,0,0,0,0.0,3,0,0,0,
41A02FD8932D03163F7262BEFE16FF14,2014-11-02,0,1,1,0,0,-1,0,0,0,1,
E05A30090F9A20F45FA62E3C9858A701,2014-11-02,4,1,1,0,0,0.25,0,0,1,0,
4975BFBBE8B11A5FC40090F2DC6ADE45,2014-11-02,1,2,2,0,0,2.0,0,0,2,0,
A34D0BB408A5C511354F332F0512FEFE,2014-11-02,1,5,5,1,1,6.0,0,4,0,0,
B0DEED64065FD5335B08554CD1AC0086,2014-11-02,1,2,2,0,0,2.0,1,0,0,0,
EEB46BCE185975B5CADBE0F225CECC36,2014-11-02,0,2,2,0,0,-1,0,0,0,1,
6049BDAC64A4727C72E7749603487996,2014-11-02,4,2,2,0,0,0.5,0,0,0,2,
E0574D1338B3F6C643FC54D3B2FF495E,2014-11-02,1,1,1,0,0,1.0,0,0,0,1,
AA17A269FAE34056FB5C0D3D0BEA3FF2,2014-11-02,2,4,4,1,1,2.5,1,0,2,0,
AA1993B584132628EEF6E90F93C6892D,2014-11-02,3,4,4,0,0,1.33333333333,0,0,1,0,
1F3FB18F99367C21EE2F097B471EFE45,2014-11-02,0,7,7,0,0,-1,0,0,6,0,
419BF0510E7813BA66633A424DC80E52,2014-11-02,3,3,3,1,1,1.33333333333,2,0,0,0,
6791C1B7A2C3BCE9D22AB2903F25636D,2014-11-02,23,22,22,2,2,1.04347826087,12,0,0,0,
A784BD6B067C54829AB7C6312B6DE9CB,2014-11-02,0,1,1,0,0,-1,1,0,0,0,
EA493B66FCD49217948D6639848F4C40,2014-11-02,1,0,0,0,0,0.0,2,0,0,1,
976C22E53DE8467005A739DA7033D647,2014-11-02,5,3,3,2,2,1.0,1,0,0,0,
5A6CBF6BDAD63520E52D5051C2ACEB45,2014-11-02,0,0,0,0,0,-1,0,0,1,0,
C52C9A5E0285A494945ED51C1F01B8DA,2014-11-02,2,1,1,0,0,0.5,0,0,1,0,
8C6D1AFADC3BD11FCD78A1F7F1C36667,2014-11-02,2,36,36,7,7,21.5,0,16,0,0,
549ADE81B027D0A55FCBCC1AD9CB7A15,2014-11-02,1,0,0,0,0,0.0,3,0,0,0,
0143434148869E23E82CAEBBDBB96C2B,2014-11-02,2,4,4,1,1,2.5,0,0,3,0,
2F903CFED59F915B83B41648E4918A70,2014-11-02,8,5,5,0,0,0.625,0,0,1,0,
B9D710379B5C5000DC99868970FED3A6,2014-11-02,6,5,5,0,0,0.833333333333,0,0,1,0,
1E097288F3DD19FC4D16BA49A3AB2F7F,2014-11-02,1,8,8,0,0,8.0,0,5,0,0,
