Month,Weekday,Date, Expand_Button_Click(E), Research_Topic_Show(R), Search_Count(S), Advance_Search_Count(A), Core_Correalation_Click, Exit_Button_Click, Educator_Tool_Click, My_List_Click, Bookcarts_Click, Slideshows_Click, Timelines_Click, Quizzes_Click, R/S, E/R, A/S
January,Fri,14-01-24,888,5031,20337,1100,111,108,3,231,37,15,28,7,0.247,0.177,0.054
January,Mon,14-01-27,954,5435,22075,2014,97,147,0,372,46,26,28,10,0.246,0.176,0.091
January,Tue,14-01-28,990,5820,23830,1771,73,151,9,307,154,17,25,7,0.244,0.17,0.074
January,Wed,14-01-29,1096,7120,27276,2275,102,157,3,324,241,14,12,24,0.261,0.154,0.083
January,Thu,14-01-30,1412,7933,30526,2380,83,186,8,512,338,10,15,9,0.26,0.178,0.078
January,Fri,14-01-31,1121,5851,23320,1607,88,136,7,288,274,20,13,26,0.251,0.192,0.069
February,Mon,14-02-03,1306,8143,30255,2803,90,213,4,407,283,22,31,29,0.269,0.16,0.093
February,Tue,14-02-04,1984,9147,36282,2861,109,171,7,514,327,25,35,26,0.252,0.217,0.079
February,Wed,14-02-05,1442,7191,28229,2128,93,156,3,381,391,23,9,12,0.255,0.201,0.075
February,Thu,14-02-06,1770,9833,36152,2921,113,233,9,464,318,17,13,11,0.272,0.18,0.081
February,Fri,14-02-07,1610,8167,31151,1869,99,147,3,463,249,27,27,29,0.262,0.197,0.06
February,Mon,14-02-10,1678,10783,43643,3244,118,287,4,685,259,37,46,24,0.247,0.156,0.074
February,Tue,14-02-11,1905,9564,39394,2872,98,252,6,495,337,21,71,17,0.243,0.199,0.073
February,Wed,14-02-12,1690,9033,35198,3378,124,218,11,269,253,20,21,20,0.257,0.187,0.096
February,Thu,14-02-13,1442,7525,26871,2556,160,189,5,424,142,77,34,14,0.28,0.192,0.095
February,Fri,14-02-14,1036,5398,18240,1554,39,139,2,197,39,6,11,11,0.296,0.192,0.085
February,Mon,14-02-17,763,4571,18714,1698,48,121,6,196,33,10,13,4,0.244,0.167,0.091
February,Tue,14-02-18,1467,7476,32609,2948,114,211,4,518,172,18,15,38,0.229,0.196,0.09
February,Wed,14-02-19,1478,8729,39640,3294,119,214,14,459,165,11,22,30,0.22,0.169,0.083
February,Thu,14-02-20,1623,8086,35757,3339,105,190,2,488,604,7,23,22,0.226,0.201,0.093
February,Fri,14-02-21,1333,5993,26106,1656,109,215,4,228,541,11,14,2993,0.23,0.222,0.063
February,Mon,14-02-24,1534,9188,38092,3068,129,172,5,798,121,21,14,21,0.241,0.167,0.081
February,Tue,14-02-25,1774,9837,42992,3154,134,221,14,509,255,23,46,23,0.229,0.18,0.073
February,Wed,14-02-26,1512,9586,39193,3631,101,178,10,338,242,11,20,24,0.245,0.158,0.093
February,Thu,14-02-27,1778,8533,35847,2980,116,235,1,473,262,12,14,13,0.238,0.208,0.083
February,Fri,14-02-28,1462,6986,30212,2215,91,188,5,314,101,51,14,11,0.231,0.209,0.073
March,Mon,14-03-03,1139,6089,29836,2601,118,151,4,752,63,10,7,15,0.204,0.187,0.087
March,Tue,14-03-04,1470,7275,34233,3358,96,203,3,430,235,20,11,25,0.213,0.202,0.098
March,Wed,14-03-05,1449,7644,36640,3089,116,221,4,769,544,27,21,3034,0.209,0.19,0.084
March,Thu,14-03-06,1600,9115,35930,3332,102,236,5,735,1062,24,30,4336,0.254,0.176,0.093
March,Fri,14-03-07,1186,6550,28387,2480,96,215,8,429,637,23,18,4141,0.231,0.181,0.087
March,Mon,14-03-10,1279,7457,32923,2870,105,141,8,486,187,21,12,12,0.226,0.172,0.087
March,Tue,14-03-11,1559,8627,34647,2938,93,175,4,367,110,19,17,19,0.249,0.181,0.085
March,Wed,14-03-12,1434,8222,35214,2904,141,198,2,363,333,22,19,25,0.233,0.174,0.082
